title,year,mileage,price,price_text,condition,location,postcode,shipping,listing_type,sold_date,bids,seller,url,image_url,scraped_at,proxy_used
Shop on eBay,,,,$20.00,Brand New,N/A,,N/A,Buy It Now,N/A,,N/A,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,2025-05-25T09:07:15.135260,
Shop on eBay,,,,$20.00,Brand New,N/A,,N/A,Buy It Now,N/A,,N/A,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,2025-05-25T09:07:15.166995,
Ford Transit 350 L3 359 Leader EcoBlue,,,8250.0,"£8,250.00",N/A,N/A,,N/A,Buy It Now,N/A,,faton2005 (201) 100%,https://www.ebay.co.uk/itm/197274101641?_skw=ford+transit&itmmeta=01JW37PFX5A08HSDRF168GF1W5&hash=item2dee73e789:g:EWkAAeSwe8hoE7dw&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1c16IAXaIvNq1siXdHA5VwkJLS9TH2DVZQCeOmF2fOL8LZXAEemLU93OIJo7Zy5DdfXTh9YjDf%2BpA9pM%2FjsgFj8%2BBRAFsb0i8ERgbJwMp7h6Yb3IY%2BQasJ5Sr2kbcW4I6nIMBvRWkVr63i%2FaUUFkiZaide5pt2aksJD5Wfqvi26PevFT7ZRHu4McT6Rs6QL5BWC%2FoIDZ59lscWqxamgg844g1SI14a%2F8aFgIuggzWbeIv61jHCaubIZFZ7jI4OlPpI%3D%7Ctkp%3ABk9SR9r-2efgZQ,https://i.ebayimg.com/images/g/EWkAAeSwe8hoE7dw/s-l500.webp,2025-05-25T09:07:15.196861,
NEW LISTINGFord Transit Customer Cam belt Broken 2017 93000 Miles,2017.0,93000.0,2500.0,"£2,500.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,petera9935 (792) 100%,https://www.ebay.co.uk/itm/197351849418?_skw=ford+transit&itmmeta=01JW37PFX5NA6MBWVXSD1PMQMF&hash=item2df3163dca:g:Tr8AAeSwfh9oMeLw&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cZX08aPaWhNR0tuJc2l9fFhcLIfjfA%2FjulrNs865Ib5ystDy18beaqYn3RSh6f%2BJ4QuxgXzFZeJhaOKTIDKmmVkfmywoC5LoJB6YDfCN8qdvgEG0GFWJIkgOTmE2F%2FS0lk7YCmEyfTcIJBdf%2FOyh6H3TepoWXBgbOkX7ZvVB8gVMj10MxrxAjFNe%2BGNMUHAV5xywZ3hiwV0r99z5UydwGAECIii2TxA3NO94lfYUVg7JB%2FXjCcGoviTL8xgzlo6Q4HWHY33xcdY9pU71ZcUBSi97ds4lbFgUXA4FWtU7%2F7Rg%3D%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/Tr8AAeSwfh9oMeLw/s-l500.webp,2025-05-25T09:07:15.229978,
ford transit tipper single cab no vat,,,2495.0,"£2,495.00",2495,N/A,,N/A,Buy It Now,N/A,,dapr-7128 (1) 0%,https://www.ebay.co.uk/itm/388452672471?_skw=ford+transit&itmmeta=01JW37PFX5MQRVYZP7T5JCYSXR&hash=item5a719563d7:g:dcgAAOSwVq1oLuZf&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cAVNjfadDn%2FO3dhEmUJSSed%2BQCCIoTJkDDCb%2BF14i4Q74hUTHOft8%2Bfg4o2wTH3K1Zogs99bi17%2BZZKGXJQYj2X6K5g%2B1j%2Fj0NzteRLky29S7Cv8CuHwBw2rZbiv%2F3vhthFIewU7Clw5o28B10snVi0ADwcQJaoD1ULtNIlHS0Z%2BKnKJ2M9zpcB2oKgwrRU3k1Qp8Mc8SmaFezyhbbtt1VNbcPqHoRPIE57%2B44BUCiCvpjOwqlg0%2BTzBxJF4MYF7MyHDZ8xXvivYvdfpY8q8u4pS08po3vCisoFdrmesrdFQ%3D%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/dcgAAOSwVq1oLuZf/s-l500.webp,2025-05-25T09:07:15.262630,
Spares or Repair Ford Transit 2016 LWB - NO RESERVE,2016.0,,1500.0,"£1,500.00",Pre-owned,N/A,,N/A,Auction,N/A,1.0,autos.cryst (481) 100%,https://www.ebay.co.uk/itm/226771152684?_skw=ford+transit&itmmeta=01JW37PFX5K96ST6A0EMY79VCP&hash=item34cc9d2f2c:g:lwQAAOSw~4toMJEh&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fW%2Br5ltlr3AoXNFPhsCA%2BkBWNacUrT9VHoaoSvKwaI5mT%2FP31TdC3QB0eZEOFjRJ4vvAQkgP8E53WNve0Jer%2B0PmJqWEWAIdXuD33o8of0o8OlMk8EhCw7L64RA5emkbRNgP0Z97Ls8I%2ByhY%2FnhNUEZVqTDUjOcbXLbO5%2Fkz6X8rL2WkXx35An6sDXfvMz%2BMVE9E3IwRfuGFWYfyINP3XobFgqPI9Npyjgg0QX6i3C5oZ02vUquSqCnu7seQi57JloF3RHqWezsqqY3SA4SWbhL6RfaZGi6s3bTEBxxsbsSg%3D%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/lwQAAOSw~4toMJEh/s-l500.webp,2025-05-25T09:07:15.294620,
ford transit mk8 luton 2.2 years mot no vat,,,7995.0,"£7,995.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,jcr502 (344) 100%,https://www.ebay.co.uk/itm/197264401886?_skw=ford+transit&itmmeta=01JW37PFX5BD2X6TPE6WYH7535&hash=item2deddfe5de:g:8joAAOSw1oloD-IJ&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dQ1GyzUOczxfe6sBf0efzOQeyQWsUqTu05G0jq%2B2tSEOmunEjGOX5FO37gtLyx4xECb%2Bls%2BysGkPN%2FrkxupruElAko2440BIvB0r8fz9gUfVl%2FKSMBzZQSaLqLMoIKdc6xufIiqNM27vH1BVVdc0DpDx0TUfqYk%2FS8qbKFhRpp5a3ttkYVUSbYocbjPCOfbYoCtViQeM9cAKvSTGBonmGg1qvSJqrLlo%2BErjQ9lmDSqepztLqrOhDRzI2zQ2NuHmlX%2BfED%2BV34KwXhs4oVHHw%2F55pso7HPqhzYjzeQ2TOFJA%3D%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/8joAAOSw1oloD-IJ/s-l500.webp,2025-05-25T09:07:15.329501,
"Ford Transit Connect, Diesel 2016",2016.0,,2800.0,"£2,800.00",N/A,N/A,,N/A,Auction,N/A,1.0,teethyboy1 (285) 100%,https://www.ebay.co.uk/itm/267259955080?_skw=ford+transit&itmmeta=01JW37PFX5K072VJHSBMAS405J&hash=item3e39ef4788:g:iMQAAeSwx7BoLiuM&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1e5LEGlj6a%2F8aXcBSnpWMP19gQ8BHV5v1yHh5P%2BK3V0DjNYCnkKbs2G7YZonDY%2Foviqs6VIjAlptI9e61q7xWxZRdWKbLAL5Ulv8hLObVZ0%2F40y3wAOXeotAAA0lcF3i7BBKH%2FHnfEss1ptmwy%2BzhnrLT7Cm8CF%2BeyBnhBiMRusiSJzykgfUPFdWMYh8CqzebRj9A9lywx3Er0FHh4nLDSg7lI2qA0oro02xZX%2B%2F4RnUeJD8E3zrML2iDrdbtDOiZw6arcOPjC7J811QK7imEO%2B7cV1o6QJzRl%2BFYQAWCOWOA%3D%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/iMQAAeSwx7BoLiuM/s-l500.webp,2025-05-25T09:07:15.358172,
Ford Transit for sale spare or repair,,,1000.0,"£1,000.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,95new_3 (40) 100%,https://www.ebay.co.uk/itm/135740978094?_skw=ford+transit&itmmeta=01JW37PFX5BK1W2EFGT7WCZ4A4&hash=item1f9acaf3ae:g:mtwAAOSwm9RoDpaV&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cU2U0fytF%2BZWQ0ZGNoayF1nS5kIqHsVFSednLPBh747jc%2F3v8OCMP%2FMxyNWLAXjzVT3N7Cg%2FVoghFJBjDV%2BtYEDSuwuiAvZiodHFh8nfgsK0B28qEicCOCdD2zw7hSj9%2BJm%2F447vRPayDEbV8WKLj2hxN%2BHEeVC%2BboHYy6AJeFGYB9HW%2BiEQU45lNQzvkv5jJAhacD%2B7%2FKjwgwhefRCgNMPSKj6%2BEpXwPvq3BJITA8NmflHTFFSMG138Lk0qFqSNA%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/mtwAAOSwm9RoDpaV/s-l500.webp,2025-05-25T09:07:15.388424,
Ford Transit Tipper With High Sides. Suits Tree Surgeon / Arborist,,,5900.0,"£5,900.00",Pre-owned,N/A,,N/A,Auction,N/A,4.0,caz4tom (144) 100%,https://www.ebay.co.uk/itm/156994189528?_skw=ford+transit&itmmeta=01JW37PFX6J4F1227NRZY45TD9&hash=item248d9538d8:g:ndIAAeSwoNtoIjtw&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cj2RGyFQ4AQm5yUf3wmAtLh8ie8ptpMCw4NJpYehZadYinAFLmW4wwMdaSRfXywPiH%2BmD%2BieWbpdGjBkTG1tGc6%2FTNte3W12%2BhGo6cY%2Bay0nroU1TpF5mWaQc2znFMMaTEeN87KMuHbMOZIH57WKb%2FWUMgIMU83keSLOPIIpeY%2BC5NpdBL6oC%2FnJTk0C290crqF0RUNN5gYsqh4UfAhIfW5PRpkl3w8CMMdhtpHBgRc4tS03e6vNYde6bhV7A8gck%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/ndIAAeSwoNtoIjtw/s-l500.webp,2025-05-25T09:07:15.419001,
ford transit dropside crewcab Tipper,,,3300.0,"£3,300.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,inftho.xrmk4tcw (18) 66.7%,https://www.ebay.co.uk/itm/256943549735?_skw=ford+transit&itmmeta=01JW37PFX6GC935S1SSAZMYT8Y&hash=item3bd3076d27:g:5F0AAOSwPApoLxca&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cxuMD4HhTDObHbdKcKiuIZL94%2FPo63VUZ%2BFBjKtruj7CWkTVx4vkpZE3OTGzc1B7wfVVus%2BX9irRGHpwJGItrmgj4J5QBIx4si403c1P%2Bpec55xYy2ski8aLC7nsfXMekl0S9aJew6bxO4U6edhDu%2FgqID%2BEmyIaYsBjwYkR2xbW2syCi7QXkkJd%2BsrgYfbhp7idRE7zuMSw3jK%2BBqW8zdrTx%2F3GX1NyUNCYv1%2Fk6FlQtQif9shyTR89PXVMo59Bo%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/5F0AAOSwPApoLxca/s-l500.webp,2025-05-25T09:07:15.454732,
