title,year,mileage,price,description,condition,location,shipping,listing_type,vat_included,bids,watchers,time_left,seller,image_url,url,postcode,age,scraped_at
Ford Transit Custom 2.0 280 EcoBlue Limited L1 H1 Euro 6 (s/s) 5dr,,,29295.0,Condition: + vat ***Available On Low Rate Finance***; Seller: vanzonecardiff (206) 0%,+ vat ***Available On Low Rate Finance***,,,auction,,,,,vanzonecardiff (206) 0%,https://i.ebayimg.com/images/g/W8YAAOSwoRhnUthS/s-l500.webp,https://www.ebay.co.uk/itm/135424698057?_skw=ford+transit&itmmeta=01JW67HXHKHWQFC5SZNEAEC0KT&hash=item1f87f0e6c9:g:W8YAAOSwoRhnUthS&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cvEtKym9luLJOHuOhiVx3wBcvkMX7o8LO5suQ1B%2B9wybWIV8f73Ol5vU12Fh%2FH89hFJlb4DY%2BshyQEjouEemlEQZdIk3dQD7eC2BVOXwbSI1iyUXuBTL0b0sFOxXLNaA5NJ9BiU5AUEy1FVxuC1AjfOcAN0FJswAMtSKuikzzoG2H1wxmPbT3o23aqr8mWtkScoG9RhsviDB5%2FpGnpKlPvk9pOeArSrJh5J%2FPC83b8axmo6bJLYMvIvIXH343BJDdV3tzxtEj%2BByHuJFspTUMcRjsW9MH1hUzVrIBkGkOQ0Q%3D%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,,2025-05-26T13:02:28.245799
Ford Transit Custom 2.0 280 EcoBlue Leader L1 H1 Euro 6 (s/s) 5dr,,,28195.0,Condition: + vat ***Available On Low Rate Finance***; Seller: vanzonecardiff (206) 0%,+ vat ***Available On Low Rate Finance***,,,auction,,,,,vanzonecardiff (206) 0%,https://i.ebayimg.com/images/g/pi8AAOSw4JZnZAdo/s-l500.webp,https://www.ebay.co.uk/itm/135451918538?_skw=ford+transit&itmmeta=01JW67HXHKZKX9ZAKCXG2QAYYJ&hash=item1f899040ca:g:pi8AAOSw4JZnZAdo&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eJE8%2BuaqTlIAcfG3RUY%2F8Xbqb6O068nnfwZftQ28VHCNMFSubSq%2BSN8C0JM4ORJ2mO1kFGoW1U7VlCLIwPXwcCChOBe8TEAokWz5C65JEqem431AKBxJHfyESAhAsZN1zTWghUtWi3Cc9zl6kX%2F%2BF8FklQf8A454QTzpTje5Jk9yhQSGHj3fZc%2BU2FM0rgDp7POP4mAGFceyQvjPmgXBX9tGBehptSOAZHsktZYE1JyPp8HbjsJNGstHd3yag1bCe26ZxoaHNwr9xSoKQWQtkeFTk0VHNolY%2BOQIwcvLKOLg%3D%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,,2025-05-26T13:02:28.403130
Ford Transit Custom 2.0 280 EcoBlue Leader L1 H1 Euro 6 (s/s) 5dr,,,26195.0,Condition: + vat ***Available On Low Rate Finance***; Seller: vanzonecardiff (206) 0%,+ vat ***Available On Low Rate Finance***,,,auction,,,,,vanzonecardiff (206) 0%,https://i.ebayimg.com/images/g/8PAAAOSwq3xn5WgY/s-l500.webp,https://www.ebay.co.uk/itm/135653948649?_skw=ford+transit&itmmeta=01JW67HXHK9AYR3RPGZ50Q3JZH&hash=item1f959afce9:g:8PAAAOSwq3xn5WgY&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1c2%2BP7oxgud38eUNmqdX%2BDs0PQpk3I4EQ%2BjpJd7TGF%2FGkeKACiRqo%2Fw7oaHGtwVYM14tvzQ15qdXZeIFTqe0uuNFcmzox%2FvY5TJqLEf7MZ93gBGXg1oCkmgWaTYhWu%2BnC6e%2ByVJZE49YVZ4PQlZDg4d8Rpso61rOrOqjOx8fu7QLBp4wWHrrt%2BPYHvy3Wt16vHUSAA1yTOcRJwss0kGumKWAO8YdXP%2F2jsQfM%2BDe%2F8MM%2BuTM0fZ%2FsNDimr8ynSHrGk%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,,2025-05-26T13:02:28.514667
Ford Transit 2.0 350 EcoBlue Leader FWD L3 H2 Euro 6 (s/s) 5dr,,,28195.0,Condition: + vat ***Available On Low Rate Finance***; Seller: vanzonecardiff (206) 0%,+ vat ***Available On Low Rate Finance***,,,auction,,,,,vanzonecardiff (206) 0%,https://i.ebayimg.com/images/g/sUYAAOSwWn9oE0P1/s-l500.webp,https://www.ebay.co.uk/itm/135733831248?_skw=ford+transit&itmmeta=01JW67HXHK1CSQ3PA8C70VFH1V&hash=item1f9a5de650:g:sUYAAOSwWn9oE0P1&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fhdTRGvb1XbNmVmmiduXPTsVI6C%2F8uonnxTdWxEpsdjv4pcTHE7ytxQK%2F9sDI7q7uMf1W3ZNYicyW%2Bs2TXE7GSkeERI7dDWcXhkzsGtpFEU36VbGPEzrRykzmLfNxrOTgtHFcTrT2T3zj7MV2I63bfTvOY%2Fei8ITkqi9JXKaAMAQ4dpqQYJ4H9QAorvTLVIj7f0xR78L0TD5aQdcSZsYW8qoLZfzJbdrxbqcmAKtiV5oTkRgZlhcilMH3SklxlG4I%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,,2025-05-26T13:02:28.634357
ford transit custom limited lwb fridge 2020 70 plate 1 owner no vat,2020.0,,7495.0,Condition: Pre-owned; Seller: matt695 (780) 100%,Pre-owned,,,auction,False,,,,matt695 (780) 100%,https://i.ebayimg.com/images/g/1sEAAOSwcshoLHrc/s-l500.webp,https://www.ebay.co.uk/itm/167481655673?_skw=ford+transit&itmmeta=01JW67HXHK571EQ0D8EK4HTWHA&hash=item26feaf4179:g:1sEAAOSwcshoLHrc&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1ehpkSVJer6sQo5apAad8vJMUtaj4aMHoIOuVu1exUnzRVNqbRH5LG6pqMgV8o78tdDvnTEx6DkQGdUph52qPmSgZmcskraaQxMEiCJSYeZ1rLSsS9AvgCBfXxTN2v0lvSPp6AzyZqqj0ULAipasadkN2lAlbvKYMZKNXI6g78kxWh3oYJD%2Bo3AQKjzMY5mY1NeRRIakxpgtoB0c77xPaREO7hrj7wxKqtFwi%2FYaF38lbk4Hhl9T%2B1%2FHHxgDJVmduA%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,5.0,2025-05-26T13:02:28.755654
"Ford Transit 290 Custom Van 2018, spares/repair",2018.0,,4200.0,"Condition: Pre-owned; Seller: jim-blackpaint (1,049) 97.6%",Pre-owned,,,auction,,,,,"jim-blackpaint (1,049) 97.6%",https://i.ebayimg.com/images/g/wQAAAOSw2r5oMvr5/s-l500.webp,https://www.ebay.co.uk/itm/116617756383?_skw=ford+transit&itmmeta=01JW67HXHKEV3RJ2JP29RGMK1W&hash=item1b26f5bedf:g:wQAAAOSw2r5oMvr5&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1ceLbYbVjo%2BXw9bBWuF3d5fYfxHRd6PN7inKhfONNftPTQS2q0TWT%2B2%2B1z6c2THgmbG3Qn4vavpTtZ0bHi9Ds1rgblpoqI68363u%2Fs4uCOwFJ9CJDHd7PwVG8kQpmBEtlJr5h9jqcvDRA8qLuUp%2FRFWr2n4QqzHAwWPIlW6Ozz%2BXgtVCL%2Ft%2FqYfBcZN7VFe6yR6BBRgBB2V7coOJ8K0EKZNXq9BVVvQnXIurygk%2F4V%2BaHy%2B2mmmU5jfYBVVRHmcAzvGonvJNA5nz4mQn%2FlJv0FIeopGKzd36Ejz2LbXJzFF4g%3D%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,7.0,2025-05-26T13:02:28.883667
2017 Ford Transit Transit 350 Chassis Cab Diesel Manual,2017.0,69000.0,11995.0,Condition: White 69000 Miles; Seller: woodvillecarsales (686) 100%,White 69000 Miles,,,auction,,,,,woodvillecarsales (686) 100%,https://i.ebayimg.com/images/g/Cj0AAOSw3TloCnQF/s-l500.webp,https://www.ebay.co.uk/itm/187164324658?_skw=ford+transit&itmmeta=01JW67HXHK12R4D5WAFNG9S5A8&hash=item2b93dcf332:g:Cj0AAOSw3TloCnQF&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1f32AUFNkUXrR3zHVYmB%2FMyhskVQTcTCAm9TjDCDbVvchBfkuYAr2JgH6IoslhMa1VbMT9OQBKIYEtAsQ9Rz%2Bq1FtXY%2BlDFUwlWc7%2BfGKhd0r3wry4pSJeSC3P7166qGyPV3TnQ1AKmxd6R%2BMVuNl9EZslF8KnZH6vMsGCGBTAjtp2jyFpF7BN%2B0Sk3EtBgwlo3RoJyvFNvYcTnd%2BV6lDZc34Qe8Vr3fUIXiYg4MIDcLXP%2BxVrbQsEpSQI38VCZKBg2smryzfmxwVFFWHMe22BILigqoxHSdxkggLrgGQriXA%3D%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,8.0,2025-05-26T13:02:29.022784
2008 Ford Transit Connect Tdci T220 L Swb P/v 75 Panel Van Diesel Manual,2008.0,65000.0,3000.0,Condition: White 65000 Miles; Seller: woodvillecarsales (686) 100%,White 65000 Miles,,,auction,,,,,woodvillecarsales (686) 100%,https://i.ebayimg.com/images/g/eMMAAOSwBKdoC1QW/s-l500.webp,https://www.ebay.co.uk/itm/187171338836?_skw=ford+transit&itmmeta=01JW67HXHK6VZZWH04D5ZFE2W5&hash=item2b9447fa54:g:eMMAAOSwBKdoC1QW&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1d0oDRw%2FmPQOloB79gz1x6%2F3Y9hwbhrjmf7lXZ%2FUWsKPTyQqIPtiuIsIeK9GEzDomhs%2FZ27lBwTk%2BuoKrcnwXmefwQ0k7ejXW9U3sJK4TEL2IZoOnVvpmfU2EOXAMhqMuUySb8%2FScRAxEKXZSuiDJ3qdNFzN5FzNenXc9RJPP%2FLSu3fQCEt%2B0%2FU5JxmD1rmPWcym9wGWLPKqQnMOKmr%2B8P8X%2B%2B%2BsptqO1yp5GFh5DIFcbDmaKKFckV5I87ITcwwRtNZ4PnaT9AugVl%2F9caZ5sofui5EJ5IdcLZpCdtKZ%2B82mg%3D%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,17.0,2025-05-26T13:02:29.168538
2020 Ford Transit 350 Leader P/v Ecoblue Panel Van Diesel Manual,2020.0,154315.0,9995.0,Condition: White 154315 Miles; Seller: woodvillecarsales (686) 100%,White 154315 Miles,,,auction,,,,,woodvillecarsales (686) 100%,https://i.ebayimg.com/images/g/OZ4AAOSw8BVoH4sR/s-l500.webp,https://www.ebay.co.uk/itm/187211308318?_skw=ford+transit&itmmeta=01JW67HXHKQQX52A0NQZK8ZVVW&hash=item2b96a9dd1e:g:OZ4AAOSw8BVoH4sR&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fEFYzQoV6EgIw95fVigAzAPgOlHk1A6FiWSDPn6RQW3iSwhgTg3zoiR9ke79h4sw7sMWj%2BWLM2kW3xgIkPP6s1gSfALCKA%2BI68c5GbhnerZvwqlOCP5uP9meEGwaPJ3dHeiyA3wQIQ0TbeVFW9mu7l65VUJdgrIWwVv%2FmDDpy3I5EcieQrkCop4yASVHerNZPfVtLf1WG%2B%2Bz3uUWP9NSxIrwM%2BZTxZuJx5pVq3Haky1hHVEuWg2qLQ15t5OIw5OiA%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,5.0,2025-05-26T13:02:29.335434
"FORD TRANSIT CUSTOM LIMITED 2.0 EcoBlue 130PS L2H1 135,000 MILES WHITE £8,995.00",,135000.0,8995.0,"Condition: EURO6 PLUS VAT EURO6 PLUS VAT EURO6 PLUS VAT EURO6; Seller: mitchellsfleetmanagement (1,482) 100%",EURO6 PLUS VAT EURO6 PLUS VAT EURO6 PLUS VAT EURO6,,,auction,False,,,,"mitchellsfleetmanagement (1,482) 100%",https://i.ebayimg.com/images/g/SVUAAOSwPjJoMp9R/s-l500.webp,https://www.ebay.co.uk/itm/285517563593?_skw=ford+transit&itmmeta=01JW67HXHMHS9BKY0YK1VPD5G4&hash=item427a2c46c9:g:SVUAAOSwPjJoMp9R&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1f2oflVd%2BC%2FzwC8ZsUNetHIr6IOnmVneF5EPc21auslB40QJHdzaQAnBFm5WG0ve2gNgqXVIcL4Qj7NZwK9aP2zMiY6wf6UqcaJxQfwj69rOPQjqRE8BwOYQOx%2BctRAUSqXJn8i4eeZ3JLkh6vT063HDU4rmxAZeYIKl8Llam3V3ENOR3hezebvd%2BsjbQU2qZH9p2VGnxi%2BjgCs5CszhPun5yWyA9ISJpC2ZRLH52iXJpnzPDCNuPgzqzuYo7vgmZQ%3D%7Ctkp%3ABk9SR57Zx8fhZQ,SW1 5EE,,2025-05-26T13:02:29.532057
