title,year,mileage,price,description,image_url,url,postcode,proxy,age
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2018,122592,8500,2.0 350 EcoBlue RWD L2 H1 Euro 6 2dr (DRW) | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/94490addea754f13907c7a17aac9d5c2.jpg,/van-details/202505162466661?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=52dd4095-bbac-4d6b-ba7a-e75bc63761e6&advertising-location=at_vans&make=FORD&model=TRANSIT&page=1&postcode=SO14%203AJ&price-from=500&wheelbase=MWB&fromsra,SO14 3AJ,,7
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2023,14898,22994,MWB L2H2 Medium Roof 350 Leader Ecoblue Sensors EURO 6 2.0 | 2.4 TDCi 350 RWD L2 2dr (1-Way) | NEW MOT |EX BT TIPPER | NO VAT,https://m.atcdn.co.uk/a/media/w480/33158689302e4b66b4de5b6002c45823.jpg,/van-details/202504231628665?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=5704f405-cca9-4ff8-a61d-83bfd2be4f64&advertising-location=at_vans&make=FORD&model=TRANSIT&page=2&postcode=SO14%203AJ&price-from=500&wheelbase=MWB&fromsra,SO14 3AJ,,2
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2017,112000,9995,2.0 ECO BLUE 130ps SINGLE CAB TIPPER EU6 | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr | 2.2 TDCi 290 Trend FWD L2 H2 Euro 5 (s/s) 5dr,https://m.atcdn.co.uk/a/media/w480/2bfbbf4d5cc74da9b32913c14f2a7501.jpg,/van-details/202504101183375?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=a6d4d7a3-8380-418d-805c-365c2117c729&advertising-location=at_vans&make=FORD&model=TRANSIT&page=1&postcode=NE1%207AJ&price-from=500&wheelbase=MWB&fromsra,NE1 7AJ,,8
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2018,122592,8500,"2.0 350 EcoBlue RWD L2 H1 Euro 6 2dr (DRW) | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr | 2.0 350 EcoBlue Trend Panel Van 5dr Diesel Manual FWD L2 H2 Euro 6 (s/s) (130 ps) NO VAT, ONE OWNER, AIR CON",https://m.atcdn.co.uk/a/media/w480/94490addea754f13907c7a17aac9d5c2.jpg,/van-details/202505162466661?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=6289ef93-cecf-41ec-a430-55bb3f6365cb&advertising-location=at_vans&make=FORD&model=TRANSIT&page=2&postcode=NE1%207AJ&price-from=500&wheelbase=MWB&fromsra,NE1 7AJ,,7
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2019,83356,12991,"2.0 350 EcoBlue Chassis Cab 2dr Diesel Manual RWD L2 H1 Euro 6 (DRW) (130 ps) | 2.2 TDCi 330 Panel Van 5dr Diesel Manual FWD L2 H1 (209 g/km, 123 bhp) ON SITE STAFF VEHICLE,NEW MOT & SER | 2.0 350 EcoBlue FWD L2 H3 Euro 6 5dr",https://m.atcdn.co.uk/a/media/w480/f1d8d2cc889c4277954c9f04e4e74032.jpg,/van-details/202504050990312?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=7a432831-1ef0-44bc-85f6-d62a3fd1fa80&advertising-location=at_vans&make=FORD&model=TRANSIT&page=3&postcode=NE1%207AJ&price-from=500&wheelbase=MWB&fromsra,NE1 7AJ,,6
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,78223,15295,"2.0 350 EcoBlue 1-Way Tipper RWD L2 Euro 6 2dr (1-Stop) | 2.0 290 EcoBlue Leader Panel Van 5dr Diesel Manual FWD L2 H2 Euro 6 (s/s) (105 ps) MEDIUM WHEEL BASE, ONLY 30000 MILES | 350 LEADER RWD 2.0 TDCI 130 BHP L2 MWB ARBORIST ARB TIPPER **DIRECT MAJOR LEASE**CHOICE 2 IN STOCK**",https://m.atcdn.co.uk/a/media/w480/9309348783c24e309072b95a2047f4cc.jpg,/van-details/202502058763894?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=4aa2dd41-7b0e-4d41-8218-3097ae6e594f&advertising-location=at_vans&make=FORD&model=TRANSIT&page=4&postcode=NE1%207AJ&price-from=500&wheelbase=MWB&fromsra,NE1 7AJ,,5
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,71107,15495,2.0 350 EcoBlue 1-Way Tipper RWD L2 Euro 6 2dr (1-Stop) | 2.0 350 EcoBlue Leader Chassis Cab 2dr Diesel Manual RWD L2 Euro 6 (s/s) (130 ps) | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/13fdcec9e429429dbf3df190e33c8915.jpg,/van-details/202502058771240?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=6b38db1d-5ffd-4364-9075-a3b73e2d207a&advertising-location=at_vans&make=FORD&model=TRANSIT&page=5&postcode=NE1%207AJ&price-from=500&wheelbase=MWB&fromsra,NE1 7AJ,,5
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2022,56700,12990,2.0 290 EcoBlue Leader FWD L2 H2 Euro 6 (s/s) 5dr | LOW MILEAGE ULEZ VAN L2H2 MWB | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/4990d16a5dfe4d0db6b9833a66a2098e.jpg,/van-details/202504101179416?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=ff69d3e0-ea67-4abd-aa31-056f3b97ef26&advertising-location=at_vans&make=FORD&model=TRANSIT&page=1&postcode=RG1%206AB&price-from=500&wheelbase=MWB&fromsra,RG1 6AB,,3
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2022,54054,16490,"2.0 350 ECOBLUE TREND P/V L2 H2 130 BHP MWB *ASK FOR A WALK AROUND VIDEO* | 2.0 350 EcoBlue Panel Van 5dr Diesel Manual RWD L2 H3 Euro 6 (130 ps) | 2.2 TDCi 280 Duratorq Panel Van 3dr Diesel Manual FWD L2 H2 (207 g/km, 128 bhp)",https://m.atcdn.co.uk/a/media/w480/bfe75d7d004b4d33ab326b9c4ac4187d.jpg,/van-details/202501158065253?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=3ed6d2ff-9308-427e-bc3b-b61f3a31e46a&advertising-location=at_vans&make=FORD&model=TRANSIT&page=2&postcode=RG1%206AB&price-from=500&wheelbase=MWB&fromsra,RG1 6AB,,3
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2015,112202,6994,MWB L2H2 Medium Roof 310 Trend Air Con Cruise Side Door NO VAT 2.2 | 2.0 290 EcoBlue Leader FWD L2 H2 Euro 6 (s/s) 5dr | 2.0 350 EcoBlue Panel Van 5dr Diesel Manual FWD L2 H3 Euro 6 (130 ps),https://m.atcdn.co.uk/a/media/w480/847329ade4fd4bab8f58031978d33f8d.jpg,/van-details/202504111240857?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=e5d8e670-a10f-4672-9128-8d7a131cdd21&advertising-location=at_vans&make=FORD&model=TRANSIT&page=3&postcode=RG1%206AB&price-from=500&wheelbase=MWB&fromsra,RG1 6AB,,10
